Id;Non Conformance Title;Classification;Pending Steps;Case Worker;Status;Registration Time;Registered By;Reoccurrence;Completed On;Impact Other;Investigation summary;Impact Assessment;Root cause description;Classification justification;Segregation of product;Discarded product;Started new production;Repeated operation/analysis
70;"ASX shutdown over weekend during fill flush procedure";;;Suyog Basnet;Completed;07/09/2022 01:31 PM;Elias Veidal;;23/01/2024 07:10 PM;"NA";"The power sockets were not well-labelled. Labelling of sockets while building the lab is a responsibility of electrician. Because the sockets were not well-labelled, both the incubator fridge plug and the pump control electronics plug were connected to sockets on same circuit in MCB. This led to overloading in MCB and current flow was stopped. ";"During the pre-inoculation phase of ASX, the flowpaths are prepared to provide optimal conditions for cells inoculation such as, pH calibration and removal of air bubbles from the system. These parameters must be changed several times before the system is ready for inoculation. Due to power interruption, the machine stopped measuring the parameters which delayed the time required for the system to be ready for inoculation. After ASX was switched ON again, all the parameters mentioned above were checked routinely. When pH and temperature was close to setpoint the system was confirmed to be ready for inoculation phase. Pre-inoculation phase does not contain cells in the system, thus it is the phase to prepare bioreactor with environment suitable for cells. Therefore, the non-conformance doesn't have any impact on product and the product quality. The incident did not impact scheduled inoculation of cells as the machine was started long before the cells were ready for inoculation. So it was enough time to adjust parameters before inoculation and the inoculation was performed on 12.SEP.2022 as scheduled. ";"The power socket was not well-labelled and there were free power outlets available on the socket. So both the power cables from DIA277 were connected to the same circuit. ";;;;;
71;"Infection in cell culture before inoculation in Xcellerator DIA309";;;Suyog Basnet;Completed;08/09/2022 11:36 AM;Gro Stokke;;07/02/2024 04:42 PM;"NA";"The samples from the flasks that were considered contaminated under light microscope were confirmed to be microorganism infected by streaking the samples out on TSA plates and incubating for 3-5 days at room temperature and 4-7 days at 30-35 degrees celcius.      There are several steps involved that can be a cause for infection which are mentioned below:     a) Increased number of cell culture flasks to handle. The operators involved in the process were all experienced working with cells and validated for aseptic works in clean room.     b) Workflow during aseptic work. The operators had to bring things in and out of LAF bench several times during expansion of flasks which can disturb the laminar air flow of LAF bench. Even though this is a normal procedure while working in the LAF bench, the disturbance in the airflow can have more impact on the cell culture than other processes like CL1000. ";"As this is an internal production this had no impact on customer, no impact on product or product quality as the infected cells were discarded prior to inoculation. Only impacts timelines of an internal project and workload for operators. The non-conformance delayed inoculation procedure during test-production of 1A12/1/4 in ASX. Inoculaion was planned to be performed on 08.SEP.2022 but was postponed to 12.SEP.2022.  No signs of infection is seen on the cells inoculated on ASX until on 21/10/2022. B8353 was terminated early, but due to cells observed in IC (NC74). ";"The exact source of contamination is difficult to confirm. Based on the analysis, the most likely root cause can be considered that operator had to handle large number of flasks as well as more turbulence within the LAF bench. Cell culture is a very sensitive procedure and infection can occur from a very slight compromise of aseptic procedure which is very difficult to completely eliminate. Infection is rare in our production however, there is always a slight risk of infection during cells handling. ";;;;;
72;"Annually service was not performed for cold room DIA283.";;;;Completed;15/09/2022 01:04 PM;Gro Stokke;;07/02/2024 05:08 PM;;;;;;;;;
73;"ELISA- Incorrect dilution of standard";;;;Completed;22/09/2022 03:02 PM;Suyog Basnet;;07/02/2024 04:43 PM;;;;;;;;;True
74;"Cells observed in IC chamber of Xcellerator";;;Elias Veidal;Completed;07/10/2022 03:26 PM;Suyog Basnet;;06/02/2024 07:35 PM;"NA";"Investigation identified leakage in one or more of the bioreactors in the flowpath, most likely due to issues in manufacturing. It was tried to locate the leakage, but with no conclusive results. The test production was terminated due to low productivity and resources.";"B8353 is a test production utilizing expired materials and was not meant for release. Hence, there is no impact to product quality nor production timeline. However, it has affected the materials used in the cell expansion phase, resources delegated towards the project and has resulted in a delay in the qualification of Acusyst Xcellerator. PQ of Xcellerator requires a successful run, therefore the instrument is not qualified for use.";"As established in the investigation the main root cause of this non-conformance is considered to be material. More specifically, leakage in the bioreactors of the flow path due to damage of the hollow fibers during manufacturing of bioreactor. This test production was performed to validate the AcuSyst Xcellerator in our production (Ref: CMID8). Expired materials was used to reduce cost and was supplied by the GMP site.  The risk associated with use of expired materials was taken by production management  and evaluated in correlation with CMID8.";;;;;
75;"pH probe autoclaved in not approved instrument";;;Suyog Basnet;Completed;19/10/2022 08:23 AM;Suyog Basnet;;11/03/2025 10:06 AM;"NA";"Due to this error in the autoclave machine, pH probe used in ASM (DIA209) was autoclaved in SurViva AS. The operators were not aware of the criteria for using external instruments for production. The autoclave in SurViva AS facility is not a validated instrument for ISO production facility.   ";"The non-conformance does not have impact on the product since the pH probe which will be used in production was autoclaved according to the requirement in SOP4037 (Ref Attachment: pH probe, pH probe1). The autoclave was performed by a trained operator in SurViva AS.   No signs of infection was observed in the production batch until today 01.11.2022. Inoculation of ASM is planned on 02/11/2022. ";"The operators are trained in the SOP5043 for instruments shortly after starting working in the company but there is no routine for regular re-training on the SOP.    It was a common practice to send laboratory equipments for autoclave in SurViva AS. The operators were not aware about the procedure regarding instruments that are registered and activated for production.   ";;;;;
76;"Planned non conformance: use of an unqualified autoclave for ISO production";;;;Completed;20/10/2022 10:16 AM;Gudrun Richstad;;15/11/2022 05:45 PM;;;;;;;;;
77;"Lost Power Supply for 2D2 batch B8385 DIA029";;;Joakim Sørgård;Completed;04/11/2022 12:17 PM;Joakim Sørgård;;18/06/2025 10:25 AM;"Risk of not meeting deadline for product delivery for customer, potentially impacting further trade with said partner. ";"The wrongful shut down of a circuit breaker caused a Acucyst Maximizer unit at max productivity to shut down, stopping the processing of a vital product. This caused the cells of the process to die, requiring the Maximizer to be re-initiated according to SOP0060(Version 3.0) and the start-up of multiple CL1000 to reach product deadline. ";"Creating a lot of extra work to restart production in accordance to SOP0600 as well as multiple new CL1000 in accordance to SOP0042 in order to meet customer's expected delivery date for product. Loss of product that would be produced by the Maximizer between 05.11.2022 and 16.11.2022 as the output from this period was discarded due to unknown quality of antibodies produced by stressed cells.  Harvest 1, batch B8449, was not affected by the loss of power since it was immediately extracted from ASM DIA029 on 04.11.2022 and purified along with CL1000 flasks that were started 19.10.2022 as a backup in case any unexpected events would adversely influence the ASM production. ";"Access of service workers from outside of Curida Diatec without supervision. The dashboard is also not labeled in a clear, informative way. Loss of necessary power to keep production alive and lack of a remote alert system for major deviations to available staff. ";;True;False;True;
78;"The maintenance and monitoring of suppliers are not meeting the requirements of Diatec Supplier Quality Program SOP5026 rev. 2.0";;;;Completed;07/11/2022 04:14 PM;Anna Huk;;07/11/2022 05:33 PM;;;;;;;;;
79;"Trend review not performed for refrigerator (DIA227) in clean room- Q3 2022";;;Suyog Basnet;Completed;09/11/2022 02:33 PM;Suyog Basnet;;07/02/2024 01:52 PM;"The operator involved had to use the extra time to search for the missing document and review the trend. ";"This refrigerator's trend review document was missing which can possibly be misplaced. The system for placing sirius documents in their respective folders can lead to misplacing of documents. ";"The non-conformance did not have any impact on product and product quality.  The Sirius logged data were reviewed on 09.11.2022 and no deviation related to the data trend was observed. Sirius system are checked by operators routinely for alarms or malfunctions. However, such non-conformance can always pose a risk of not detecting the trend of instrument failure if the maintenance routine is not followed. ";"System for archiving sirius trend review is not sufficient to maintain proper control over documents.";;;;;True
80;"Harvesting started earlier than expected in the pre-inoculation phase";;;Suyog Basnet;Completed;10/11/2022 02:13 PM;Suyog Basnet;;23/07/2025 10:49 AM;"NA";"Mistyping from an operator during Starting of AcuSyst Maximizer process led to the incident. The harvest delay time was set to 5 instead of 50 days.  ";"The non-conformance occurred before inoculation of cells. So there was no production while the incident occured.  The harvest pump pumps the harvest out from the flowpath and nothing was pumped towards the flowpath. So less chance of contamination in the flowpath.  After the incident was discovered, the harvest pump was stopped and pressure was released from the harvest tube by opening clamp to a flask. The tube was aseptically cut off at the swollen region and reconnected as the swollen region could have been fragile. This was performed to ensure avoiding leakage during run. In addition, the swelling occurred next to the rigid peristaltic pump tubing. So, cutting only a small region of harvest tube was enough and the rest of the tube was easily reconnected to the peristaltic pump tubing. Cutting a small part of the harvest tubing didn't impact connection to harvest flask because the harvest flask is kept on the under shelf of the same table and the tubing is extra long when manufactured.   Then the harvest pump was run at 100 ml/hour for an hour to wash the tubing with medium which was collected in a flask. This ensures that the tube was properly flushed after the cut and connect procedure.   The ASM was followed closely until inoculation on 18.05.2022. No leakage or infection were detected before the inoculation.  This non-conformance, therefore, doesn't have any impact on the production or product quality. ";"Mistyping in ASM can occur during the procedure and the SOP doesn't have a step to double check what was typed in.   ";;;;;
81;"Failed to complete weekly maintenance of LAF bench";;;;Completed;16/11/2022 02:28 PM;Joakim Sørgård;;16/12/2022 11:46 AM;;;;;;;;;
82;"DIA285 freezer out of temperature specifications";;;Elias Veidal;Completed;21/11/2022 02:06 PM;Elias Veidal;;07/02/2024 02:00 PM;"NA";"No critical samples or reagents are stored in the freezer, the smallest of the vials was not fully thawed after the temperature increase.";"The impact of the reagents is low, they are frequently thawed and frozen during production. ";"Operator did not close the freezer door properly.";;;;;
83;"ELISA worksheet misplaced";;;Elias Veidal;Completed;22/11/2022 08:58 AM;Gudrun Richstad;;07/02/2024 01:36 PM;"NA";"Missing in process analysis in batch documentation for B8248, B8389 and B8211. The missing document for B8248 and B8389 was noticed during batch review, but was not possible to locate. The same document is relevant for B8211, but  it was not discovered during release of B8211 that the worksheet was missing. This proves weaknesses in document handling regarding ELISA  in process analysis, and the batch review of the same documents.";"The ELISA analysis is an "in process" analysis that's performed during production to estimate the production time-line. B8248, B8389 and B8211 are terminated and finalized, a missing in-process analysis will have no effect on the product. The results from ELISA analysis is used together with different measured parameters, such as cell number or glucose concentration.   However, this deviation is an error in our systems ability to uphold the tractability of documentation and its corresponding raw data.";"Root cause is our systems failure to locate missing document, by ensuring its traceability and/or information available to operator performing batch review.";;;;;
84;"ELISA worksheet not a part of final batch review";;;Gudrun Richstad;Completed;22/11/2022 11:30 AM;Gudrun Richstad;;30/08/2024 11:13 AM;"NA";"For batch B8326 it was one analysis present in the Batch documentation, however, 2 ELISAs runs were performed on B8326, the first on H2 and H5, the second on H5 and H8. Unlike all other assays performed at the ISO-facility, ELISA analysis is not logged in our run-number register with appropriate information. due to this,  it is difficult to know if all in process analysis are present with the batch documentation. Documentation is in constant use, and it can be challenging to find the correct pocket for the documents. As the ELISA documents for B8326 was discovered with another batch of documentation, this is determined to be the main root cause.";"The ELISA analysis is an "in process" analysis that's performed during production to estimate the production time-line. B8326 is finalized and released, and all QC testing were within specification, including final concentration of product. However this deviation is an error in our systems ability to uphold tractability of documentation.";"Main root cause is determined to be the amount of documentation in use at the same time belonging to different projects, and can easily be misplaced with another project.  Contributing root cause is the lack of system to ensure detectability and traceability between in-process performed and its documentation prior to batch release.";;;;;
85;"Clean room not washed with Peroxide week 47";;;;Completed;29/11/2022 02:51 PM;Yngve Ness;;07/02/2024 04:43 PM;;;;;;;;;
86;"Wrong information in Project specification regarding serum amount in IC medium";;;Gudrun Richstad;Completed;01/12/2022 10:27 AM;Gudrun Richstad;;26/06/2025 12:44 PM;"No impact identified";"Information on serum amount in PS only relevant for CL1000 production, while both CL1000 and maximizers were used. Production team did not read the PS.";"The correct amount of serum used for maximizer run is 0.5%, as is stated by SOP2016. Since operators used 0.5% serum on autopilot despite instructions in PS, the correct amount of serum was used and this has no impact on production or product quality of batches produced by B8385. Furthermore, increasing the serum to 1% for IC compartment has no impact on the production itself, as 2D2 clone grown in CL1000 uses 1% outer medium (standard for most CL1000 productions). To use 0.5% serum in tanks prepared for maximizers is a buisiness decision as serum is expensive and the molecules do not cross the membrane between EC and IC side, using more than 0.5% is considered a waste.   ";"Root cause is determined to be non-optimal information in PS which can cause confusion and the amount of people involved in writing the PSs without any standard way of making the document.";;;;;
87;"Microclave on AcuSyst sampling lines not changed in time";;;Gudrun Richstad;Completed;01/12/2022 03:02 PM;Gudrun Richstad;;23/07/2025 10:48 AM;"NA";"Microclave not changed within timeframe, due to non-optimal documentation and lack of system to ensure such tasks are performed.";" No leakage or infection has been observed and EVE reported after visual and functional inspection that the replaced microclave was still functioning as it should. Therefore no future batches produced from B8385 are impacted from this Non conformance, including B8449. ";"Non optimal documentation and lack of system for followup";;;;;False
88;"Incorrect version of SOP1007 documented in ELISA worksheet";;;Yngve Ness;Completed;08/12/2022 07:35 AM;Gudrun Richstad;;11/11/2025 08:25 AM;"NA";"All standard Batches used on these runs was approved and therefor no diversion from previous version 2,0";"There were two changes made in v03 from v02 of SOP1007 1.  Pt. 8.2.2: Added "Previously approved batch" to specify use of an approved batch as a standard. However, previously approved batches were used as a standard for both B8449 and B8412, .  2. Pt.9.11.1: Changed to LAB instead of FOU. LAB disk was used as this was already in use at the time and raw data was saved in the correct place. ELISA for both batches was an in process control, where only yield is estimated from the results. Both final batches B8449 and B8412 are within yield specification according to their product specification. Therefore this Non conformance has no impact on product quality or production.";"The lab's responsibilities for handling authorized copies are defined in SOP 5042 section 5.2.7. The team leader holds responsibilities for switching documents in laboratory binders when a new SOP is released. The team leader should delegate the task to the Production team, however, the system is not well followed and seems not robust.  The task is not followed up when a team leader is absent from work.   Root cause: a not robust system for switching document copies in the lab. The document system process lacks a notification or remminder system which will notify the production team. The current system requires that the team leader follow up on document updates but creat a risk that task is not followed when a team leader is absent.";;;;;
89;"Customer audit, Calpro AS: Temperature control system";;;;Completed;09/12/2022 09:44 AM;Anna Huk;;30/08/2024 10:45 AM;;;;;;;;;
90;"ELISA QC Analysis saved as file E6613 instead of E6123";;;;Completed;12/12/2022 08:16 AM;Gro Stokke;;04/01/2023 01:52 PM;;;;;;;;;
91;"ELISA washer used without sufficient cleaning-buffer";;;;Completed;12/12/2022 02:53 PM;Elias Veidal;;03/01/2023 10:52 AM;;;;;;;;;True
92;"Broken instrument not labelled according to the procedure";;"7. Effectiveness Check & Closing";Elias Veidal;Open;14/12/2022 04:07 PM;Anna Huk;;;"NA";"DIA081, a broken instrument, was not labeled according to SOP5043 Version 4.0. Investigation into the issue showed that there was no training in responsibilities and labeling of equipment outside of initial R&U. Equipment was not used despite the lack of proper labelling. DIA 081 was labeled and removed from the premisses following this observation.";"DIA081 was not used despite the lack of proper labelling, hence there is no impact to any production or product. ";"Discussion with involved operators show that training in SOP5043 is not sufficient. Since several operators were involved in handling of the failed equipment and no concerns was raised about labelling it. As most involved personnel are relatively new additions to the team, the proper understanding of roles and responsibilities within SOP5043 was not clear. The current introductory training in SOP5043 will need to be re-evaluated, since no specific training module exists for this procedure. Root cause is therefore considered to be lack of understanding in SOP5043 and corrective action is proper training of all production personnel in SOP5043, including roles, responsibilities and status of equipment (CAPA117), as well as a new training module will be initiated to ensure all future employees receive this training (CAPA127).";;;;;
93;"Instrument in guarantee used in the production process.";;;Elias Veidal;Completed;14/12/2022 04:12 PM;Anna Huk;;30/08/2024 11:49 AM;"NA";"Quarantined equipment was temporarily used to store EC-medium and harvest from B8394 when minibar DIA081 was defect. The storage itself does not breach procedure since there is no requirements for storage conditions in protocol. However the use of quarantined equipment breach with our procedures. Team leader decided to use use the equipment, without opening a temporary change.";"There is no risk to product quality from this deviation. Both the harvest and EC-medium has no requirements for its storage during production as was assessed in QRM-2020-129, however, it is considered more beneficial for crude to be stored cool, and final product storage temperature is usually 2-8 degrees. In general most refrigerators operate in 2-10 degrees C.";"The lack of understanding surrounding usage of change management within our QMS system. A similar non_conformance lead to CAPA92 being created. This is deemed a sufficient preventive action to this non conformance.";;;;;
94;"Failed to do Weekly maintenance on time for incubator";;;;Completed;15/12/2022 02:38 PM;Joakim Sørgård;;30/08/2024 11:50 AM;;;;;;;;;
95;"Suspected infection in CL1000 (B8405)";;;Joakim Sørgård;Completed;27/12/2022 11:38 AM;Suyog Basnet;;04/01/2023 03:19 PM;"NA";"Contamination was confirmed on streaked out settle plates by Curida Diatec QC Services.  Contamination is most likely the common human skin-related bacteria Staphylococcus or Streptococcus due to the yellowish hue and turbidity of the outer medium. The most plausible cause of this contamination is during the handling of the flask.";"JSS 03.01.2023 Infection was discovered 23.12.2022. No other infection was discovered in near-laying CL1000 flasks at that time or since that time. Both Staphylococcus and Streptococcus (the most likely contaminating agents) are non-sporulating and are very sensitive to the cleaning agents used in our lab (ethanol and peroxide). There is, therefore very low risk of any further re-contamination derived from the infection examined in this NC. Product quality: The previously harvested crude from B8405 was pooled together with other harvests from 2D2 CL1000 to produce batch B8455 prior to the discovery of infection. As the operators are trained in the detection of infection (as apparent by the detection of infection in B8405), there is a low risk of the unit being contaminated at the time of the last harvesting. Furthermore, even if there was a beginning of infection the elution at a low pH would destroy any growth in the product. Finally, the 0,2 µm filtration would eliminate any possibility of microorganisms growing in the final product. Therefore infection of the final product is considered highly unlikely, and product quality is not affected. Production timeline: The affected CL1000 flask was discarded. The flask was in one of the final weeks of production and, combined with the other lines of production, should have enough product for a customer. No need to start new production. ";"JSS 03.01.2023 Not able to identify a root cause. Most likely due to accidental strafing during handling of CL1000 harvest or medium exchange. ";;;True;;
96;"Medium number M221109A used twice.";;;Nina Granum;Completed;29/12/2022 12:17 PM;Nina Granum;;05/11/2025 08:18 AM;"NA";"Wrong labelling of the medium bottle used for CL1000 outer medium. Most likley root cause is the use of excel spreadsheet which does not secure traceability of changes.";"This occurrence has no impact on the process or the product quality. Medium used was correct, but labeled incorrect. ";"Most likley root cause is the use of excel spreadsheet which does not secure traceability of changes.";;;;;
97;"SDS analysis for 2D2 product displayed smaller band than expected";;"7. Effectiveness Check & Closing";Gudrun Richstad;Deadline Exceeded;30/12/2022 11:13 AM;Gudrun Richstad;;;"NA";"Results for SDS-Page with running number SDS637 were out of expectation compared to previous batches, where each band was approximately 120 kDa in size instead of  earlier batches have been around 175 kDa in size. Investigation determined that the product is within specification (150 kDa +/-) as the range is not determined and that the criteria does not reflect the possible variation in method.  ";"No impact on production or product quality is identified, as this is related to poorly defined criteria with an undefined range.   Both batches, test and reference, show similar mobility, around 125 kDa, when compared with the precision standard used. Therefore, product failure can be excluded in this investigation.   The precision standard used for SDS-PAGE runs consists of a set of proteins that may not migrate exactly like the tested product. The migration of proteins in SDS-PAGE depends primarily on their molecular weight. Factors such as protein conformation or how SDS binds can also slightly influence migration. Molecular weight markers (precision standards) migrate according to their size and structure, therefore, minor differences in mobility between the tested product and the standard are expected and do not indicate a difference in actual molecular weight.   Criteria for product purity are currently defined as ±150 kDa in the Product Specification. These criteria are not well defined, as they do not specify an acceptable range around the nominal value. The defined limits do not account for method-associated variability and can affect the interpretation of results. It should be highlighted that SDS-PAGE is not a quantitative method for protein size determination and provides only an approximate estimate of molecular weight.";"Test and reference batch batches have identical mobility, around 125 kDa, compared to the used precision standard. Therefore, product failure can be excluded in this investigation. The criteria for the method are not well defined, which causes the product to be initially interpreted out of specification by operators.,";;;;;
98;"Tanks for maximizer prepared without filter and autoclaving the tubing used.";;;Elias Veidal;Completed;03/01/2023 11:26 AM;Elias Veidal;;01/07/2025 12:59 AM;"NA";"Due to shortage of filter, operator decided to follow used, but not documented approach  for tank preparation. The approach was used in production for long time, first the shortage was first experienced. However the actual date can not be confirmed as the change was not raised at the time. The fact that the change was not raised resulted in the procedure not being updated. What is more, according to procedure for documentation management all procedures should be reviewed periodically and the approach to be adjusted if needed. However the procedure had not been fully revised for several years (only immediate updates performed). At the lab meeting no concerns were raised using this approach as it was used in the last few years. It is not clear to production team which have to be initiated according to change management procedure. ";"Production was monitored for microbiological growth, Double samples were taken from IC, EC medium from B8421 and B8394 and harvest medium for B8385, and incubated and there was no sign of infection. There is no impact on product quality or production. ";"Change control not initiated the first time production experienced shortage of filters. Therefore this approach was not incorporated into the procedure at the time. All the operators receive training in change management as apart of their introduction training into the quality system, however this training seems not to be sufficient. Furthermore, document was not revised periodically which indicated that the process is not working. Finally the production team consists on newly hired personnel, including the head of department, therefore concerns were not raised when issue was brought up. ";;;;;
99;"Extra bands for SDS control B5596 clone 5G8. Run SDS626 for B8388.";;;;Completed;04/01/2023 08:47 AM;Gro Stokke;;10/01/2023 01:43 PM;;;;;;;;;
100;"Change CMR20 implemented before QA Approval";;;;Completed;04/01/2023 10:48 AM;Anna Huk;;04/01/2023 03:06 PM;;;;;;;;;
101;"Performed reinoculation of ASM flowpath (B8256)";;;Suyog Basnet;Completed;06/01/2023 01:44 PM;Suyog Basnet;;23/07/2025 10:22 AM;"NA";"AcuSyst maximizer run B8215 was unsuccessful with low cell growth and poor yield. It was decided in accordance with production management to perform re-inoculation, a procedure not described in SOP0060. The need for a change management report was not identified at the time and due to time constrains maximiser was re-inoculation. A change management report should have been initiated to include the process in our procedures. ";"Performing re-inoculation, a non-approved procedure increases the risk of it being performed incorrectly. Re-inoculation is identical to inoculation which is included in our procedures, and the manual explains re-inoculation. Several of the AcuSyst team were present when procedure was performed. SBA and IKM are experienced operators, in addition one operator under training also observed the procedure Therefore, training of operators was not considered necessary to perform re-inoculation. To clarify any questions operators had before performing the re-inoculation, a representative from Cell Culture Company, was contacted by phone..  The risk of infection is increased due to more steps in production, however all involved operators are trained and experienced in aseptic work as well as spotting and handling infection. No infection was detected during production of 1A12 B8256. The product quality is not impacted by performing the re-inoculation since all criteria for inoculation was met. All parameters during production was within acceptance criteria. And all IPC and QC analysis was according to technical requirements and product specification. All parameters in B8256 also surpassed that of B8215 concerning productivity, which is a testament to the cells and therefore the products quality. ";"Use of multiple documents during Acusyst production, including manual, leads to confusion on when it is acceptable to use manual vs SOP. This together with a lack of understanding of the change control process lead to the process being performed without the necessary approvals and documentation.  This is the second time within a short time period that production works outside our protocols without an approved change management report (Ref: NC_98). This further substantiates the lack of understanding of our QMS system as well as the necessity for training in change management. CAPA92, mandatory training in change management for all employees is created as a preventative measure.";;;;;
102;"Water leakage from roof within Diagnostics lab area";;;Thu Thi Nguyen;Completed;11/01/2023 12:57 PM;Joakim Sørgård;;06/02/2024 07:23 PM;"Minor impact on resources used in cleaning of contaminated area";"Leakage of dirty water from the roof of Technopolis building down to the Diagnostic area and lab, due to heavy snow melting combined with increased rainfall.";"The area in analytical lab exposed to leakage is used for vialing and purification. The vialing of products and cellwork are done in the LAF, including 0,2 µm filtration. This minimizes the possibility of contamination. The leakage nearby the personnel locks leading into the cleanroom have the potential to lead to contamination of cleanroom.  However, both analytical lab and cleanroom area are monitoried for microbial growth every week according to SOP1076 Environment monitoring. There have been no findings exceeding the alarm or action limits in this time period within either lab area, and no increase in infection in production has been observed. therefor this has no impact on product quality or timelines. As more cleaning and some refurbishing was required to mitigate the risk of contamination, there was a minor impact on resources.";"The weather had started warming up, in combination with increased precipitation. The melting snow combined with the increased rainfall may have slipped through the structural integrity of the Technopolis building, entering both the office area and the working Diagnostics lab area. ";;;;;
103;"CO2 deviation on DIA025";;;Yngve Ness;Completed;16/01/2023 10:51 AM;Yngve Ness;;07/02/2024 04:44 PM;"NA";"High CO2 levels detected. Service personell discovered that white cap on CO2 sensor was removed by accident, and there was a leakage from the CO2 tube. White cap was replaced back on the CO2 sensor and CO2 tube was replaced. All CO2 values appear stable and within acceptance criteria.";"High CO2 levels can lead to acidulous medium which can ultimately kill the cells and affect the production timeline. The cells was inspected under microscope and was concluded to be healthy. CL1000 flask was also inspected for color change, the color was red indicating optimal pH. Hence, the hydrogen carbonate buffer within the medium maintained the pH despite the conditions in the incubator. Production continued as normal with no delay to the timeline, hence no impact was identified from this non conformance.";"Faulty CO2 tube and removal of white cap over CO2 sensor were the identified root cause for the unstable CO2 values within the incubators. Instrument has been repaired, operators informed of the findings and as this is non conformance is a on-off occurrence no further actions are deemed necessary.";;;;;
104;"DIA143 CO2 supply goes outside instruments acceptance criteria";;;Elias Veidal;Completed;16/01/2023 03:23 PM;Elias Veidal;;18/06/2024 04:41 PM;"NA";"DIA143 malfunctioned and reached high CO2 levels, the display did not match Sirius data. The Sirius data was validated with reference values. The contents of the incubator was moved and inspected through microscope and by visual inspection of media color. The cells did not appear to be effected by exposure to high levels of CO2. Service personnel is contacted for more information.";"High CO2 levels can lead to acidulous medium which can ultimately kill the cells and affect the production timeline. The cells was inspected under microscope and was concluded to be healthy. CL1000 flask was also inspected for color change, the color was red indicating optimal pH. Hence, the hydrogen carbonate buffer within the medium maintained the pH despite the conditions in the incubator. Production continued as normal with no delay to the timeline, hence no impact was identified from this non conformance.";"CO2 incubator DIA143 malfunctioned with non representative display values and increasing CO2 above acceptance criteria. Service is necessary to conclude the instruments defect (See CAPA116). The equipment was purchased in June 2015 and the last two years two non conformances was identified. NCR2079 and NCR2058. Only NCR2058 was equipment error, due to a broken CO2 sensor. Apart from these deviation, DIA143 performs as expected. DIA143 and all equipment like it is serviced once a year and equipment data reviewed every quarter. No risk is identified at this moment and routine is deemed robust enough to identify any trend concerning equipment malfunction.";;True;;;
105;"Pipette DIA121 failed "As found" before 6 month service control";;;;Completed;17/01/2023 08:27 AM;Gro Stokke;;07/02/2024 04:45 PM;;;;;;;;;
106;"Continue decreased use of disinfectants, continue skipping wiping with peroxide before harvest of CL1000.";;;;Completed;19/01/2023 01:46 PM;Gro Stokke;;07/02/2024 04:47 PM;;;;;;;;;
107;"AcuSyst maximizer production B8421 run with empty medium tank";;;Elias Veidal;Completed;24/01/2023 01:41 PM;Elias Veidal;;18/06/2024 04:43 PM;"The production timeline is delayed due to time and resources used for additional monitoring, risk mitigation, as well as time for the production to recover. From when the deviation occurred to all parameters had normalized took approximately 1 week. in despite of this, the product can still be delivered on schedule. ";"B8421 was without medium for approximately 31 minutes, pH was outside acceptance criteria for 21 minutes and the pH reached 6,06 before the medium was reinstated. Several actions were taken to ensure production and mitigate the risk associated with the deviation. Including increased monitoring to establish the impact of this deviation on the production, separation of product to quarantine until the impact was established and segregation of pre- and post-deviation harvest. Cell removal was performed to minimize the effects of the dead cells that accumulated in the bioreactor. Supplementation of bioreactors was done to supply the cells with nourishment and growth signals to counteract the pro-apoptotic signals from dying cells. a AcuSyst-team meeting was organized to establish a root cause and identify weaknesses in the routing. The data show that all production parameters dip before re-establishing to a level comparable with the same parameters before the deviation. Root cause investigation established that a calculation error lead to the deviation. Further, the team meeting unveiled that routine is good enough, but tools for the calculation of tank volume would be useful and preventative for deviations like this. ";"Data obtained through additional monitoring of the production unit indicates that the impact of this non conformance on product quality is minimal. B8421 was monitored frequently for about one week after the incident, and the data collected support that production is comparable to before the non-conformance occurred. Cells are viable, in high concentration, and produce expected amounts of antibodies.  Two harvest bottles were connected to the production during the incident (H5) and the monitoring time after (H6). H5 was segregated from production 1 hour and 16 minutes after the incident occurred, with data collected in the day following the incident showing that the production was not affected until 24 hours later. The H5 collected 11,25ml of crude produced under non-optimal conditions. This is only a fraction of the total volume of crude (750ml) and as there is a natural delay from the production of the antibodies within the bioreactors, until they reach the harvest, the product quality of H5 is not affected by this deviation. H6 was harvested during the investigation of this non-conformance, where conditions were not as optimal as usual in this phase of the production. Cells are clearly affected by medium restriction, but this is reflected in the antibody production not the antibody quality. All parameters suggest no impact to neither product quality nor production vitality. The risk of releasing H6 from quarantine is considered low and will be mitigated by QC testing for purity and specificity at the end of production, which ensures product quality and functionality. Hence, H6 can be released from quarantine. Later harvests are likewise unaffected and are not subject to this deviation since all parameters had recovered before H6 was substituted. As a consequence of this non-conformance, the production timeline is negatively impacted as more products would have been expected to be harvested if the medium supply had not been restricted, and more resources were needed for the additional monitoring and troubleshooting described in the investigation section of this non-conformance. From when the deviation occurred to all parameters had normalized took approximately 1 week. Despite this, the product will be delivered according to schedule, therefore this non-conformance has no impact on the delivery timeline.         ";"The investigation concludes that a calculation error was performed when estimating tank volume and production media consumption prior to weekend. SOP0060 is vague on the process of securing medium supply and medium consumption calculation is a manual process easily subject to errors, without any traceability of the calculations performed. A similar event occurred on 26.01.2023, this is documented in NC_109. This reinforces the need for guidelines in SOP0060 and tools to aid in handling AcuSyst medium supply. SOP0060 is currently under revision for CAPAID-58 and a request is added to Proposed changes document to include more information about this process.                                                             ";;True;;;
